Year,EcoregionName,SpeciesCode,ProbEstablish,ProbMortality,ANPPmax,BiomassMax
0,101,abiebals,0.9,0,886,26000
0,101,acerrubr,1,0,1175,26000
0,101,acersacc,0.82,0,1106,26000
0,101,betualle,0.64,0,1202,26000
0,101,betupapy,1,0,1202,26000
0,101,fraxamer,0.18,0,1202,26000
0,101,piceglau,0.58,0,969,26000
0,101,pinubank,1,0,1130,26000
0,101,pinuresi,0.56,0,1017,26000
0,101,pinustro,0.72,0,1090,26000
0,101,poputrem,1,0,1078,26000
0,101,querelli,0.96,0,1096,26000
0,101,querrubr,0.66,0,1017,26000
0,101,thujocci,0.76,0,1090,26000
0,101,tiliamer,0.54,0,1078,26000
0,102,abiebals,0.05,0,443,26000
0,102,acerrubr,0.6,0,588,26000
0,102,acersacc,0.3,0,553,26000
0,102,betualle,0.24,0,601,26000
0,102,betupapy,0.75,0,601,26000
0,102,fraxamer,0.1,0,601,26000
0,102,piceglau,0.5,0,485,26000
0,102,pinubank,0.8,0,565,26000
0,102,pinuresi,0.78,0,509,26000
0,102,pinustro,0.7,0,545,26000
0,102,poputrem,0.8,0,539,26000
0,102,querelli,0.71,0,548,26000
0,102,querrubr,0.43,0,509,26000
0,102,thujocci,0.002,0,545,26000
0,102,tiliamer,0.06,0,539,26000
