Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
1995	1	-4.225806452	-13.70322581	262.4125	9.9	367	0
1995	2	-4.210714286	-14.7	487.9	13	367	0
1995	3	5.087096774	-6.670967742	1012.025	35.9	367	0
1995	4	7.583333333	-3.686666667	741.2125	49.3	367	0
1995	5	18.37419355	5.122580645	1021.65	103.4	367.7732558	2769.742574
1995	6	27.26	12.67333333	1292.2	21.5	362.8832	3279.742574
1995	7	26.37096774	14.15483871	1287.3	137.2	367.9237171	3589.575458
1995	8	25.87741936	15.41935484	1118.775	145.8	372.594086	5686.763469
1995	9	19.55666667	6.24	770.175	65.6	364.9702128	7723.463469
1995	10	12.10645161	2.729032258	531.7375	138	368	8167.796803
1995	11	-1.583333333	-10.74333333	299.5125	51.6	368	0
1995	12	-5.45483871	-15.41290323	233.5375	34.5	368	0
1996	1	-7.241935484	-21.48709677	262.4125	64.3	368	0
1996	2	-4.037931034	-17.37241379	487.9	14.4	368	0
1996	3	-0.606451613	-12.82903226	1012.025	54.8	368	0
1996	4	7.896666667	-4.686666667	741.2125	54.9	368	0
1996	5	17.36451613	3.674193548	1021.65	24.8	369.8970976	3132.476191
1996	6	22.92666667	11.72666667	1292.2	112.4	365.6346968	5634.476191
1996	7	22.82580645	11.77333333	1287.3	138.1	363.5201613	6907.659289
1996	8	25.6483871	12.49032258	1118.775	87.7	366.4814815	7777.815811
1996	9	18.98666667	8.383333333	770.175	66	357.5423977	9436.271142
1996	10	13.27419355	0.406451613	531.7375	107.6	369	0
1996	11	0.1	-7.616666667	299.5125	65.4	369	0
1996	12	-4.703225806	-11.82580645	233.5375	51.4	369	0
1997	1	-6.738709677	-17.66774194	262.4125	80.1	369	0
1997	2	-1.992857143	-13.86785714	487.9	2.9	369	0
1997	3	1.651612903	-9.377419355	1012.025	45.2	369	0
1997	4	10.97333333	-3.23	741.2125	26.5	369	0
1997	5	15.09032258	2.6	1021.65	64.4	369.1546185	2334.551351
1997	6	24.98333333	11.68666667	1292.2	160.2	370.2086614	3400.525377
1997	7	24.71290323	13.25483871	1287.3	116.5	383.8424658	4176.442537
1997	8	22.54516129	11.86129032	1118.775	96.3	369.7642957	5097.910427
1997	9	20.19666667	9.086666667	770.175	107.3	381.3268156	5975.148249
1997	10	13.85483871	2.280645161	531.7375	99.3	406.1944444	0
1997	11	1.593333333	-5.633333333	299.5125	18.6	370	0
1997	12	-0.196774194	-7.474193548	233.5375	15	370	0
1998	1	-3.703225806	-11.52258065	262.4125	46.8	370	0
1998	2	3.45	-5.7	487.9	26.9	370	0
1998	3	3.535483871	-7.083870968	1012.025	82.2	370	0
1998	4	15.75333333	0.916666667	741.2125	29.5	370	0
1998	5	23.20967742	8.625806452	1021.65	112.6	390.6875	2769.742574
1998	6	22.28	9.536666667	1292.2	121.6	378.3208333	3279.742574
1998	7	26.12580645	10.8	1287.3	27.2	377.7826087	3589.575458
1998	8	26.52580645	12.33870968	1118.775	39.6	380.4428105	5686.763469
1998	9	23.2	7.463333333	770.175	47.2	380.4799406	7723.463469
1998	10	14.08064516	1.841935484	531.7375	7.7	372.9917355	8167.796803
1998	11	5.186666667	-2.693333333	299.5125	24.6	371	0
1998	12	-0.309677419	-12.07741935	233.5375	14.2	371	0
1999	1	-7.651612903	-17.6	262.4125	32.1	371	0
1999	2	-0.7875	-12.81666667	487.9	39.6	371	0
1999	3	5.007407407	-7.251851852	1012.025	5.1	371	0
1999	4	13.44333333	-0.066666667	741.2125	41.4	371	0
1999	5	19.6516129	5.75483871	1036.10031	211.2	367.7732558	3132.476191
1999	6	23.21785714	10.05357143	1192.0617	68.5	362.8832	5634.476191
1999	7	27.09032258	14.06129032	1291.77936	132.3	367.9237171	6907.659289
1999	8	23.36774194	10.57096774	1028.232	79.2	372.594086	7777.815811
1999	9	19.08	5.226666667	816.1236	39.9	364.9702128	9436.271142
1999	10	11.56774194	-0.467741935	433.7982	42.4	372	0
1999	11	7.8	-3.63	299.5125	37.2	372	0
1999	12	-2.209677419	-12.12903226	233.5375	12	372	0
2000	1	-5.477419355	-18.13548387	262.4125	25.2	372	0
2000	2	0.134482759	-13.02758621	487.9	25.3	372	0
